Metal,Process_Type,End_of_Life,Energy_Use_MJ_per_kg,Emission_kgCO2_per_kg,Water_Use_l_per_kg,Transport_km,Recycled_Content_pct,Reuse_Potential_score,Circularity_Index,Cost_per_kg,Product_Life_Extension_years,Waste_kg_per_kg_metal,Environmental_Impact_Score,Sustainability_Score
Lead,Hybrid,Landfilled,31.68,3.76,4.37,143.57,76.19,5.9,0.49,1.79,6.25,0.13,0.06587511826168,0.6320169521690768
Lead,Primary,Landfilled,64.24,6.07,7.75,133.48,58.83,6.24,0.4,2.2,6.59,0.08,0.11729064583331653,0.5341409121245829
Steel,Hybrid,Reused,88.8,3.57,8.35,260.43,89.21,6.36,0.63,1.64,15.38,0.12,0.11233839713439514,0.7503305450500557
Gold,Recycled,Reused,332.22,21.66,122.76,109.15,66.42,2.77,0.17,3717.69,34.25,0.01,0.564371750089189,0.3953040266963293
Tin,Primary,Recycled,65.22,3.91,2.14,134.0,74.41,3.3,0.33,20.69,6.64,0.09,0.09272848215420028,0.5030549054505006
Nickel,Primary,Recycled,127.6,10.38,14.03,296.07,60.49,4.31,0.63,11.34,16.26,0.05,0.21529241789993814,0.5898443159065628
Zinc,Recycled,Recycled,99.5,4.69,5.87,240.98,61.22,1.35,0.34,3.61,5.65,0.18,0.13044999226537746,0.4109133704115684
Zinc,Hybrid,Recycled,116.56,6.91,2.63,182.05,63.86,2.64,0.3,3.26,7.96,0.18,0.16414706312827204,0.4341719243604004
Silver,Hybrid,Reused,334.53,10.18,92.23,110.31,63.5,3.99,0.15,1212.18,27.07,0.04,0.43103283514214163,0.4027652947719689
Lead,Primary,Landfilled,87.73,4.89,2.28,233.55,84.25,1.62,0.65,1.71,14.69,0.13,0.12063769501692086,0.6330400444938821
Copper,Hybrid,Recycled,81.25,6.34,10.64,380.41,42.96,4.22,0.52,5.71,18.99,0.1,0.13553058520868466,0.4737220912124583
Cobalt,Primary,Reused,53.53,8.94,8.22,311.29,44.67,2.6,0.35,36.39,12.3,0.09,0.13774066836733997,0.37652204671857625
Cobalt,Recycled,Recycled,132.89,7.75,3.13,225.83,56.64,4.48,0.16,32.75,15.9,0.17,0.18595050627544837,0.39022629588431595
Copper,Recycled,Recycled,57.11,3.88,4.77,250.37,55.66,1.64,0.5,7.0,17.16,0.08,0.08769226116495399,0.45912498331479423
Tin,Recycled,Reused,40.02,3.45,1.19,148.61,65.21,1.23,0.52,17.05,12.35,0.04,0.06732777978441264,0.49620373748609564
Steel,Hybrid,Reused,50.14,7.11,7.87,331.54,47.54,2.11,0.28,1.5,21.61,0.04,0.11648988280699817,0.3491010456062291
Copper,Primary,Recycled,56.29,9.54,11.74,192.49,52.5,3.82,0.24,5.24,19.84,0.07,0.14829812395257644,0.39098331479421583
Silver,Hybrid,Landfilled,197.1,10.28,100.38,184.23,72.67,3.83,0.25,708.99,24.88,0.04,0.32749087471542354,0.47588578420467187
Zinc,Primary,Recycled,80.16,7.21,4.76,228.79,24.1,4.87,0.56,2.06,13.15,0.11,0.1394394534619038,0.42874260289210236
Tin,Recycled,Reused,32.4,4.23,3.4,131.11,61.55,2.14,0.24,19.99,11.39,0.02,0.07050562725025045,0.38980845383759727
Lead,Recycled,Landfilled,39.9,3.59,7.29,282.28,78.08,5.02,0.76,1.29,9.32,0.14,0.07269985246366535,0.7279996440489432
Aluminium,Primary,Recycled,52.38,9.85,8.45,405.46,67.23,7.8,0.26,2.46,7.34,0.27,0.1460760420865362,0.5464461401557286
Aluminium,Recycled,Reused,157.77,11.87,18.98,433.11,36.99,2.61,0.14,2.36,17.19,0.12,0.25764026703904214,0.26202451612903227
Cobalt,Primary,Landfilled,137.71,6.66,9.2,283.02,25.57,1.04,0.34,36.72,8.26,0.18,0.18295268380678967,0.2614168186874305
Zinc,Recycled,Landfilled,89.64,4.23,5.74,278.62,44.68,2.7,0.61,2.43,10.17,0.03,0.11787178508373013,0.48278674082313683
Steel,Recycled,Reused,21.87,5.69,5.01,362.47,83.8,7.02,0.43,0.87,33.34,0.13,0.07775636983649295,0.6633735261401557
Gold,Primary,Reused,365.71,23.41,219.78,176.88,75.37,4.65,0.39,3241.96,33.04,0.03,0.6733734187959096,0.5609282758620691
Aluminium,Recycled,Recycled,53.81,11.94,18.15,294.1,39.79,4.76,0.3,2.11,8.59,0.15,0.17459400326718932,0.38505543937708564
Tin,Recycled,Landfilled,49.62,4.11,2.83,192.55,38.69,4.78,0.23,19.79,10.61,0.05,0.082705359855081,0.35310037819799783
Nickel,Primary,Landfilled,130.92,11.53,9.19,165.52,27.75,3.14,0.36,13.66,17.99,0.22,0.22622456331735544,0.3248553948832036
Gold,Hybrid,Landfilled,404.66,25.87,138.42,132.86,55.35,5.46,0.37,3998.12,45.36,0.03,0.6748944532809402,0.49086829810901
Gold,Hybrid,Reused,492.68,25.84,205.52,97.8,26.36,2.56,0.41,4146.56,12.09,0.04,0.789776774805635,0.32639216907675195
Nickel,Recycled,Reused,76.75,10.71,12.54,443.71,78.96,1.45,0.12,14.56,19.61,0.23,0.17690743715106297,0.39609806451612906
Tin,Primary,Recycled,32.23,1.56,5.7,81.33,23.98,3.6,0.17,23.56,8.8,0.07,0.04519665210012782,0.24400898776418245
Cobalt,Recycled,Landfilled,136.28,5.83,12.98,279.76,61.41,2.09,0.56,28.31,16.76,0.15,0.1760269371641669,0.5161361067853171
Lead,Recycled,Landfilled,37.02,6.29,4.11,161.97,53.89,4.34,0.36,2.14,9.38,0.03,0.09528134726003602,0.456111724137931
Tin,Recycled,Reused,37.24,5.93,2.18,131.89,76.52,2.55,0.46,19.28,9.21,0.09,0.09056948998152603,0.5468096996662959
Steel,Hybrid,Landfilled,31.85,7.89,5.73,244.79,48.59,8.93,0.73,1.17,39.97,0.03,0.10822839516475487,0.6850251835372636
Zinc,Hybrid,Recycled,35.75,6.93,8.27,326.2,50.02,3.85,0.57,3.19,11.42,0.04,0.1034407158548249,0.513730723025584
Tin,Primary,Recycled,70.83,4.59,2.89,250.49,68.49,4.49,0.25,15.26,14.54,0.09,0.10451966275224615,0.47384876529477193
Silver,Recycled,Reused,254.76,21.5,100.84,147.14,31.53,4.23,0.53,1232.28,25.99,0.02,0.4861675227487006,0.43222456062291437
Aluminium,Primary,Reused,103.21,9.97,11.86,264.28,54.26,4.13,0.17,1.93,10.83,0.21,0.19022648473967116,0.37691986651835374
Aluminium,Hybrid,Reused,147.55,4.93,15.17,325.59,64.04,5.87,0.17,2.73,19.72,0.16,0.17750378165039296,0.4547495439377086
Lead,Recycled,Reused,83.98,5.13,7.69,94.8,27.26,1.68,0.47,1.91,10.55,0.07,0.12364502359786426,0.3344148609566185
Cobalt,Hybrid,Reused,72.48,6.43,14.3,257.35,21.42,4.91,0.19,20.37,15.54,0.08,0.13185335567354328,0.27091248053392664
Gold,Recycled,Landfilled,438.1,33.95,291.85,92.26,40.62,3.05,0.25,4394.19,24.05,0.02,0.8847886367273754,0.33033317018909897
Steel,Recycled,Recycled,91.16,6.3,8.82,145.56,59.36,5.07,0.3,1.25,28.78,0.13,0.14184720732221912,0.47023199110122355
Copper,Recycled,Reused,131.89,3.31,3.97,244.56,11.59,3.65,0.59,6.23,9.15,0.05,0.14129931280089905,0.36356133481646274
Tin,Recycled,Recycled,74.7,1.56,5.34,218.72,41.67,4.05,0.44,22.27,14.31,0.08,0.07894278394181423,0.4327801112347053
Silver,Primary,Recycled,315.55,17.01,90.53,72.2,54.58,4.34,0.39,915.18,13.93,0.03,0.48302772220881934,0.470871724137931
Silver,Recycled,Landfilled,232.81,19.07,93.44,148.58,54.85,1.09,0.35,986.26,27.06,0.04,0.4393615274088992,0.3836491657397108
Aluminium,Primary,Recycled,106.84,9.66,16.02,406.42,63.25,5.59,0.37,2.93,17.22,0.2,0.19280465409346742,0.5253604004449388
Tin,Recycled,Reused,58.27,1.88,3.64,222.93,43.21,4.55,0.18,18.34,7.01,0.1,0.06786200412237961,0.34606358175750834
Copper,Recycled,Reused,60.1,4.78,7.77,248.82,55.98,6.96,0.26,6.31,22.5,0.09,0.10108776301853276,0.48275870967741935
Lead,Hybrid,Recycled,67.18,3.53,1.13,172.81,74.69,3.8,0.29,2.19,10.27,0.1,0.0898224895210201,0.4992983759733037
Steel,Hybrid,Landfilled,98.92,6.46,4.21,394.24,34.38,8.21,0.48,1.86,31.1,0.03,0.14658331727363647,0.5121673859844272
Gold,Primary,Landfilled,435.77,28.3,281.6,128.64,88.4,1.55,0.23,4406.5,48.05,0.03,0.8195747927858209,0.4800827586206897
Nickel,Recycled,Landfilled,72.71,13.27,12.5,437.52,72.27,2.16,0.34,14.45,19.8,0.21,0.19925419508082118,0.47313339265850946
Lead,Primary,Landfilled,45.07,3.07,2.54,296.35,62.82,3.89,0.59,1.63,9.78,0.1,0.06846828197457944,0.5738206006674083
Aluminium,Hybrid,Recycled,131.27,11.8,8.58,250.32,15.8,2.65,0.23,2.64,12.74,0.27,0.22879854737131786,0.21415439377085652
Silver,Primary,Recycled,309.52,13.77,85.86,163.37,74.32,4.51,0.41,1429.15,16.58,0.04,0.4426800087720154,0.5616137041156841
Lead,Hybrid,Recycled,39.74,6.75,3.73,194.59,80.97,1.9,0.4,1.64,5.94,0.12,0.10180574963659818,0.5261491879866519
Copper,Recycled,Recycled,123.09,8.07,9.74,378.52,55.34,4.06,0.51,6.6,13.6,0.2,0.18571679586091097,0.5156825806451613
Nickel,Recycled,Recycled,137.74,14.11,16.61,161.38,63.65,3.47,0.54,15.54,15.37,0.06,0.26243663835108055,0.5477968854282537
Lead,Recycled,Reused,38.31,6.54,7.71,191.38,45.52,2.84,0.75,1.5,5.52,0.1,0.10121492227994515,0.5452613125695217
Tin,Primary,Landfilled,33.95,3.62,1.01,206.93,76.19,1.06,0.56,17.52,12.75,0.03,0.06405071564498245,0.5523417575083427
Lead,Primary,Reused,88.88,3.31,3.28,204.03,45.81,4.02,0.25,2.0,8.38,0.13,0.10642086460386325,0.3726727030033371
Nickel,Primary,Reused,168.67,7.69,17.25,204.88,67.65,3.65,0.34,14.05,17.21,0.13,0.22339879023999878,0.4878013348164628
Lead,Hybrid,Reused,26.19,3.18,3.66,234.24,77.67,6.64,0.36,1.85,6.81,0.14,0.05520689031446694,0.6023996885428254
Copper,Recycled,Landfilled,148.55,8.52,6.13,249.13,60.33,6.49,0.48,7.58,9.35,0.09,0.2081847247602706,0.5777026473859844
Nickel,Recycled,Landfilled,134.83,11.56,14.85,321.47,37.51,2.4,0.48,13.51,15.34,0.08,0.2334279168416677,0.39543265850945497
Cobalt,Recycled,Landfilled,146.19,4.91,7.84,277.12,45.1,4.75,0.14,30.78,8.36,0.08,0.17132743501457368,0.3420729699666296
Gold,Primary,Reused,458.19,23.04,159.67,98.76,85.64,5.28,0.3,4016.86,18.01,0.03,0.7035946730191851,0.5800238487208009
Steel,Recycled,Landfilled,98.16,7.64,5.3,367.18,36.53,8.41,0.46,1.87,31.5,0.14,0.15850494605271678,0.5172167741935484
Zinc,Primary,Reused,51.97,5.98,11.8,342.31,51.45,4.33,0.3,2.76,7.41,0.19,0.10927219528539857,0.422129254727475
Zinc,Recycled,Recycled,92.95,2.75,9.77,230.99,16.19,3.33,0.57,3.85,6.1,0.08,0.10840426209910427,0.36684231368186876
Silver,Recycled,Recycled,269.94,20.58,62.78,114.47,43.14,4.01,0.13,811.29,22.26,0.03,0.463732765106482,0.31377023359288103
Tin,Hybrid,Reused,22.23,4.97,2.88,102.2,24.93,2.96,0.1,20.51,8.24,0.05,0.06942227704463681,0.20557094549499444
Zinc,Recycled,Landfilled,76.68,7.17,11.85,329.16,41.3,1.74,0.57,2.54,13.25,0.06,0.14098244543358168,0.4319096774193548
Steel,Primary,Landfilled,33.11,5.69,6.63,124.36,51.56,7.42,0.68,0.76,20.3,0.02,0.0878313563228363,0.6433123025583982
Lead,Recycled,Landfilled,66.26,4.92,1.48,92.52,25.79,3.54,0.29,1.92,10.95,0.06,0.10322314009588004,0.2979141713014461
Silver,Hybrid,Landfilled,344.27,18.98,78.35,96.25,84.12,1.91,0.12,1216.3,9.82,0.05,0.5175933773979282,0.42697165739710796
Gold,Primary,Recycled,402.54,29.64,243.69,163.79,76.7,4.86,0.14,3749.21,20.53,0.02,0.7811060913436692,0.4709201334816463
Copper,Hybrid,Reused,46.76,8.53,6.17,171.9,5.69,4.29,0.46,7.19,22.42,0.07,0.1268549866151174,0.30219937708565076
Gold,Primary,Landfilled,312.04,32.56,225.14,83.65,23.24,3.02,0.48,3473.24,29.07,0.02,0.7255217013270838,0.35214576195773084
Copper,Recycled,Recycled,118.66,7.47,5.32,213.44,47.93,3.37,0.53,5.46,23.41,0.18,0.17322277931272043,0.478692191323693
Steel,Recycled,Reused,62.81,4.21,7.44,168.0,89.69,2.39,0.2,1.43,32.42,0.14,0.09733492957505695,0.49193018909899894
Tin,Recycled,Recycled,24.44,5.12,3.11,90.84,43.52,3.08,0.27,18.81,13.95,0.1,0.07284455693070685,0.3506005784204672
Steel,Primary,Landfilled,28.64,4.76,3.39,360.77,40.4,2.23,0.27,1.49,31.35,0.12,0.07279138146586339,0.31921067853170193
Silver,Hybrid,Reused,192.13,18.18,99.0,58.88,35.16,1.62,0.34,1034.41,15.32,0.04,0.4016131910974378,0.3126800444938821
Silver,Primary,Landfilled,201.95,19.24,103.01,157.75,44.82,2.21,0.15,940.24,10.05,0.01,0.42274824567973224,0.28844573971078974
Tin,Primary,Landfilled,63.7,5.66,1.84,82.3,72.59,4.86,0.43,22.82,14.22,0.05,0.1088164399911916,0.5704801334816463
Aluminium,Hybrid,Recycled,69.07,6.68,13.28,256.33,56.4,3.22,0.2,1.84,17.05,0.22,0.1309449808025369,0.37723515016685205
Cobalt,Primary,Reused,74.49,4.42,7.98,155.33,17.1,1.83,0.3,21.31,5.7,0.14,0.10914235477315895,0.22911190211345941
Copper,Recycled,Reused,77.17,3.92,13.2,352.01,59.25,5.05,0.39,7.25,7.57,0.1,0.10976667610113139,0.5053470522803115
Aluminium,Primary,Landfilled,141.76,6.79,8.68,267.92,67.93,7.84,0.54,1.52,8.41,0.21,0.18714722204397796,0.6621360177975528
Lead,Recycled,Recycled,60.46,3.04,6.89,250.49,76.14,5.61,0.45,1.84,9.84,0.03,0.08338467520384783,0.6093653392658509
Lead,Primary,Recycled,75.49,5.11,1.2,133.14,63.07,3.51,0.69,2.3,8.64,0.07,0.1123231146216971,0.6063667630700779
Aluminium,Hybrid,Recycled,80.68,7.15,14.83,270.88,62.75,2.21,0.26,2.62,16.27,0.13,0.14597055229492117,0.40416573971078973
Zinc,Primary,Recycled,108.03,6.72,5.35,176.47,34.06,2.42,0.43,2.31,13.97,0.08,0.15723435721301948,0.3620775973303671
Tin,Recycled,Reused,66.6,1.29,4.12,190.13,13.91,1.51,0.57,19.85,13.8,0.04,0.06894661390957232,0.31723288097886543
Copper,Recycled,Landfilled,121.52,7.21,7.4,377.16,43.37,5.69,0.66,6.38,7.01,0.08,0.17429785229923975,0.5640650945494994
Silver,Primary,Landfilled,348.33,14.75,69.88,133.98,61.31,2.84,0.49,1324.6,7.76,0.03,0.4728836015998325,0.5044213125695217
Lead,Hybrid,Recycled,45.12,5.46,2.19,146.98,84.4,5.92,0.43,1.57,8.36,0.03,0.09218087490015146,0.6413018909899889
Lead,Hybrid,Landfilled,60.54,7.0,2.14,165.23,57.93,3.39,0.78,2.32,13.33,0.05,0.11989108554887211,0.6191371301446053
Gold,Recycled,Recycled,486.88,22.1,201.46,102.93,57.89,1.1,0.36,3024.73,49.49,0.05,0.7450186414128553,0.4000316351501669
Tin,Primary,Reused,32.65,2.51,1.71,178.71,62.56,4.07,0.36,16.99,5.02,0.06,0.052374419001736026,0.4847850500556174
Zinc,Recycled,Recycled,116.82,6.77,10.5,322.27,56.91,1.43,0.63,2.33,7.27,0.05,0.16820284161044935,0.5114531256952168
Steel,Recycled,Recycled,81.68,2.0,7.41,215.18,78.72,3.03,0.64,1.63,16.21,0.13,0.09030992801775331,0.6382882313681869
Cobalt,Recycled,Landfilled,72.95,7.8,7.93,311.69,60.72,4.52,0.43,22.83,15.5,0.16,0.1416850949506807,0.5154361735261401
Aluminium,Recycled,Reused,177.28,9.91,17.3,359.33,31.72,7.92,0.24,2.59,13.93,0.14,0.25252775087254503,0.39907577308120135
Nickel,Hybrid,Recycled,60.23,6.87,4.83,370.98,22.0,5.42,0.48,15.03,7.86,0.24,0.12013649772839059,0.4005784204671858
Lead,Recycled,Reused,45.27,3.37,6.85,203.34,63.79,2.8,0.23,2.01,9.36,0.14,0.07450317993646663,0.4094514349276975
Gold,Hybrid,Landfilled,373.76,24.23,282.14,82.11,51.09,3.44,0.44,4408.46,20.06,0.04,0.7296018244009818,0.45688947719688544
Nickel,Primary,Recycled,144.16,11.65,12.84,188.78,61.86,2.95,0.36,18.98,15.77,0.18,0.2404540243412457,0.4570684760845384
Lead,Primary,Recycled,76.49,2.12,4.41,230.02,21.96,5.86,0.75,1.21,9.05,0.05,0.08535644864338644,0.5182070745272526
Gold,Hybrid,Recycled,319.62,28.86,277.92,138.09,43.62,3.69,0.6,4031.66,47.53,0.05,0.7297743210405375,0.49657121245828695
Cobalt,Hybrid,Landfilled,145.14,6.45,8.97,309.16,67.14,1.68,0.57,30.75,18.68,0.16,0.18664456817749855,0.5339348609566185
Cobalt,Recycled,Landfilled,109.62,10.34,6.98,321.96,32.06,4.04,0.47,27.85,12.2,0.19,0.19580274771233872,0.40611764182424914
Cobalt,Hybrid,Landfilled,96.17,6.14,5.71,239.42,46.92,4.85,0.39,37.64,6.43,0.16,0.1421821236133238,0.45157766407119027
Aluminium,Hybrid,Reused,56.03,4.03,12.29,475.49,59.81,3.16,0.15,2.01,10.89,0.16,0.09334304755976512,0.36954033370411576
Aluminium,Primary,Landfilled,80.34,4.96,18.04,386.88,33.12,5.03,0.36,2.14,13.03,0.22,0.12593356512022658,0.3883821134593993
Aluminium,Hybrid,Landfilled,176.7,8.12,13.39,490.53,20.34,1.42,0.43,2.17,16.18,0.07,0.23155177354855255,0.28495065628476085
Lead,Recycled,Recycled,28.24,2.91,1.27,245.81,68.74,3.17,0.7,1.43,6.7,0.07,0.05255294895776288,0.6254828031145716
Gold,Recycled,Recycled,301.4,21.89,288.84,95.53,38.48,4.7,0.29,4477.69,23.13,0.02,0.6527584594221247,0.3744806229143493
Lead,Primary,Landfilled,69.95,5.26,4.63,185.5,72.68,5.47,0.32,1.5,14.55,0.13,0.11167743632356608,0.540410767519466
Lead,Recycled,Recycled,65.15,4.77,7.21,214.68,85.02,2.3,0.27,1.29,13.85,0.1,0.10465551746054619,0.4992479644048944
Steel,Recycled,Landfilled,45.32,4.92,4.29,399.77,63.65,6.56,0.63,1.62,12.05,0.13,0.08833994600988683,0.6525399332591768
Nickel,Primary,Reused,135.59,14.54,7.71,362.04,59.88,3.76,0.2,19.89,10.22,0.13,0.2590822814874574,0.40316849833147944
Cobalt,Primary,Recycled,68.74,8.58,12.43,112.3,52.05,1.98,0.18,28.28,6.16,0.08,0.14911883494848188,0.32424894327030035
Nickel,Recycled,Recycled,62.1,7.27,15.24,396.69,47.84,5.4,0.11,11.03,18.39,0.17,0.13257579807344294,0.3554934816462737
Silver,Recycled,Reused,272.04,20.05,75.18,162.46,57.25,1.99,0.22,1082.18,7.07,0.04,0.4683808156255143,0.3612714126807564
Lead,Primary,Reused,66.02,4.3,5.13,294.34,64.95,2.31,0.27,2.47,11.7,0.13,0.09926351448630336,0.4191904338153504
Lead,Recycled,Landfilled,51.26,4.79,5.93,166.55,33.83,4.23,0.27,2.5,7.72,0.04,0.09288667192308264,0.33742456062291437
Steel,Hybrid,Recycled,80.62,6.96,2.79,320.74,24.87,7.83,0.38,1.22,33.31,0.08,0.13599325508977161,0.4256735483870968
Aluminium,Hybrid,Landfilled,127.4,9.38,16.16,233.88,10.12,7.2,0.56,1.81,19.42,0.1,0.20655024802804894,0.42465797552836493
Tin,Hybrid,Landfilled,23.61,3.73,4.49,132.75,25.77,2.57,0.37,21.15,11.88,0.03,0.05919712720073468,0.30825463848720797
Aluminium,Hybrid,Recycled,173.9,4.9,19.42,493.4,86.18,6.54,0.7,2.46,16.77,0.06,0.20112412161983173,0.7702149944382648
Nickel,Primary,Recycled,120.7,12.17,5.45,405.83,72.2,1.17,0.54,13.05,18.09,0.22,0.22195371178182147,0.5308289210233593
Nickel,Primary,Reused,151.98,5.28,13.53,373.54,16.8,2.89,0.22,17.82,9.87,0.15,0.1834560954215956,0.219493659621802
Aluminium,Recycled,Landfilled,183.94,6.28,7.74,400.27,55.23,3.0,0.19,2.72,7.81,0.14,0.21517323914066702,0.3636608231368187
Tin,Hybrid,Recycled,27.83,4.23,5.91,158.42,73.55,4.26,0.21,17.47,14.43,0.04,0.0685223097956916,0.4729719688542825
Steel,Hybrid,Reused,59.22,7.52,8.42,284.54,20.3,3.62,0.44,1.87,39.58,0.11,0.1282238523877939,0.3377339265850946
Tin,Recycled,Landfilled,31.62,1.89,2.56,116.28,49.2,3.18,0.5,19.61,13.47,0.09,0.04591543915804169,0.46754527252502787
Zinc,Recycled,Recycled,36.25,7.9,7.11,123.14,43.75,5.12,0.6,3.8,12.73,0.1,0.1127697218866745,0.5289043381535039
Gold,Recycled,Landfilled,386.92,31.34,277.61,98.65,25.7,1.29,0.1,4124.79,44.14,0.02,0.8082299576455011,0.17149855394883204
Lead,Recycled,Landfilled,75.92,2.16,7.77,197.7,74.51,1.56,0.52,1.67,11.74,0.09,0.0875410093200051,0.5407452280311458
Silver,Hybrid,Landfilled,294.54,15.44,75.9,158.37,52.44,3.93,0.54,1419.71,11.55,0.03,0.4407548173981724,0.5131904783092325
Aluminium,Hybrid,Recycled,161.27,6.32,18.39,318.97,21.98,4.88,0.46,2.96,12.48,0.21,0.20453379057130033,0.38048507230255846
Gold,Recycled,Landfilled,349.7,33.93,202.65,163.66,81.95,3.14,0.34,3193.68,34.76,0.03,0.754364835673849,0.5336553948832036
Lead,Recycled,Recycled,81.53,5.98,3.32,111.6,87.34,2.19,0.43,1.94,5.64,0.03,0.1272724505233463,0.5700808008898777
Gold,Recycled,Recycled,347.93,27.97,260.2,83.74,46.29,2.15,0.21,3551.13,29.47,0.02,0.7317104075272411,0.3169909232480534
Gold,Primary,Reused,403.48,28.9,297.5,123.71,37.77,3.35,0.26,4998.73,44.53,0.03,0.8103393686559824,0.3296072525027809
Cobalt,Hybrid,Landfilled,96.99,4.76,4.41,253.57,25.77,3.61,0.29,21.72,10.73,0.17,0.128167971770242,0.2993914571746385
Tin,Primary,Reused,34.12,1.19,2.9,205.38,12.25,2.5,0.29,18.69,12.13,0.03,0.04114101602772024,0.22061735261401555
Tin,Primary,Recycled,23.19,2.79,2.07,90.81,78.91,4.03,0.11,22.13,11.7,0.08,0.04784491211252661,0.4492951724137931
Aluminium,Recycled,Reused,153.76,4.88,12.38,285.78,78.1,7.26,0.72,2.67,9.76,0.08,0.18011265133408738,0.7619127919911013
Lead,Hybrid,Recycled,40.17,6.73,2.17,91.53,89.95,1.28,0.76,1.85,11.13,0.07,0.10090952544775574,0.6922760845383762
Tin,Hybrid,Landfilled,61.96,3.81,5.59,150.79,35.23,2.15,0.11,22.09,10.01,0.05,0.09142006295382675,0.2327509232480534
Copper,Primary,Recycled,142.66,3.71,3.07,186.61,14.72,4.75,0.68,7.45,24.8,0.06,0.1533187385839562,0.4365529699666296
Silver,Primary,Reused,341.51,24.29,111.4,126.53,39.11,3.9,0.35,1139.75,25.9,0.03,0.5905372035748501,0.38320307007786436
Nickel,Recycled,Recycled,149.44,10.76,12.73,401.27,64.7,2.31,0.56,12.29,9.78,0.05,0.2357037134710256,0.5341904338153505
Copper,Recycled,Landfilled,101.59,9.23,11.84,375.02,33.95,3.55,0.52,7.08,14.21,0.05,0.18151490847054322,0.42277664071190213
Cobalt,Primary,Reused,79.75,8.93,3.4,349.54,20.52,3.02,0.52,34.68,8.63,0.08,0.15540874759870804,0.35726576195773085
Copper,Primary,Reused,149.16,4.82,8.02,383.56,40.28,3.07,0.15,7.33,7.17,0.04,0.1729239549807494,0.28941810901001114
Aluminium,Hybrid,Landfilled,56.71,4.22,11.69,220.87,48.96,3.72,0.69,2.36,19.03,0.27,0.09538757923240081,0.5545986206896552
Tin,Recycled,Recycled,50.76,1.21,4.12,266.05,76.17,4.2,0.42,16.29,13.52,0.1,0.05547061111873758,0.5661171523915463
Copper,Hybrid,Landfilled,65.7,8.57,3.17,373.37,79.04,2.72,0.62,7.58,7.75,0.06,0.1404111001286194,0.6246716796440489
Copper,Hybrid,Recycled,48.89,6.05,6.19,356.76,82.66,5.16,0.24,6.27,23.73,0.19,0.10376663330797314,0.5414342157953281
Zinc,Hybrid,Reused,119.69,4.34,11.2,270.15,29.92,4.27,0.49,3.57,13.54,0.15,0.14666024524232674,0.4106744382647386
Lead,Recycled,Landfilled,89.99,4.45,3.02,262.95,83.49,5.62,0.75,1.37,14.04,0.13,0.11853860222860063,0.7589878086763071
Gold,Recycled,Reused,307.04,21.79,227.59,165.63,75.33,1.06,0.29,3849.69,48.39,0.02,0.6154273382391104,0.44090175750834265
Steel,Recycled,Reused,63.91,1.96,3.48,362.43,75.16,5.22,0.22,0.89,14.57,0.03,0.07306886305989564,0.5047690322580646
Tin,Hybrid,Recycled,58.9,2.26,2.22,165.34,40.89,1.95,0.3,20.56,14.06,0.08,0.07122018642686502,0.3269415350389322
Aluminium,Primary,Reused,198.15,5.64,14.88,319.45,66.89,6.18,0.4,2.69,6.86,0.19,0.22490431983590653,0.5650460956618466
Cobalt,Primary,Reused,120.14,6.61,3.35,257.87,28.22,2.11,0.34,23.81,19.55,0.04,0.16449130043270493,0.2958210456062291
Cobalt,Recycled,Recycled,126.99,6.09,7.03,257.59,15.78,3.42,0.3,23.3,9.54,0.12,0.16722563233103302,0.2592045383759733
Aluminium,Primary,Reused,79.17,4.99,5.14,314.18,48.39,7.71,0.25,1.91,19.23,0.17,0.11669506530966398,0.4650839154616241
Cobalt,Primary,Recycled,85.48,10.05,12.94,159.17,13.23,1.71,0.51,38.01,11.83,0.13,0.17755862036395423,0.2949622691879867
Aluminium,Primary,Recycled,58.26,9.49,7.99,322.98,68.79,2.28,0.55,2.19,11.07,0.09,0.1468738050187093,0.5458830255839823
Cobalt,Primary,Reused,82.16,8.8,13.07,321.69,32.72,1.45,0.38,38.47,18.75,0.08,0.16248538732733953,0.315138064516129
Copper,Primary,Landfilled,42.1,5.02,7.74,218.35,40.65,6.18,0.4,6.55,20.09,0.18,0.08906403653742542,0.4600860956618465
Steel,Hybrid,Reused,34.41,7.81,9.75,297.27,43.98,5.04,0.24,1.13,31.31,0.03,0.11215752455641294,0.3840445828698554
Steel,Hybrid,Landfilled,48.02,1.58,2.13,128.86,83.44,7.11,0.37,1.74,11.07,0.08,0.05565185801389586,0.6399357508342604
Nickel,Recycled,Landfilled,106.5,6.78,15.13,268.29,73.42,2.29,0.32,16.55,10.47,0.13,0.1631318790707706,0.4726254949944383
Silver,Recycled,Reused,159.54,14.81,110.67,118.53,31.49,2.27,0.26,1284.21,8.64,0.02,0.34960701526353566,0.28046055617352617
Silver,Recycled,Landfilled,168.79,18.54,56.53,92.41,24.24,3.34,0.27,927.28,28.17,0.04,0.3582156024720246,0.27926478309232483
Gold,Recycled,Landfilled,457.22,34.65,255.68,96.14,69.11,4.71,0.59,4992.88,12.35,0.03,0.882971212071299,0.6172230923248053
Tin,Primary,Landfilled,21.36,2.85,2.17,149.88,24.34,4.12,0.26,22.45,5.92,0.05,0.04704730726742289,0.29301739710789765
Copper,Hybrid,Landfilled,58.48,4.02,4.13,177.34,74.21,2.42,0.46,7.99,15.54,0.06,0.08976215967635219,0.5346775973303671
